iter	Accuracy	Logloss
135	1	0.02529418413
136	1	0.02476369713
137	1	0.02450944422
138	1	0.0240943202
139	1	0.02380905387
140	1	0.02356458128
141	1	0.02327691877
142	1	0.02289017217
143	1	0.02241251071
144	1	0.02213203795
145	1	0.02178652396
146	1	0.02152504943
147	1	0.02130664538
148	1	0.02110424159
149	1	0.02093801629
150	1	0.02068297714
151	1	0.02047776312
152	1	0.02022662594
153	1	0.01991881828
154	1	0.01959919187
155	1	0.01932820232
156	1	0.01897502068
157	1	0.01870412647
158	1	0.01842851858
159	1	0.01811828596
160	1	0.01784088494
161	1	0.01755978152
162	1	0.01738006554
163	1	0.01716144115
164	1	0.01698197087
165	1	0.01680590311
166	1	0.0165630043
167	1	0.01632625499
168	1	0.01608332569
169	1	0.01597049963
170	1	0.01579289064
171	1	0.01561634297
172	1	0.015255725
173	1	0.01507995447
174	1	0.01497407094
175	1	0.01490640681
176	1	0.01466586229
177	1	0.0144100516
178	1	0.01422439655
179	1	0.01407838291
180	1	0.01385006606
181	1	0.01368431773
182	1	0.01339094167
183	1	0.01313178542
184	1	0.01304382313
185	1	0.01284054608
186	1	0.0127186889
187	1	0.01252825948
188	1	0.01235865553
189	1	0.01216782526
190	1	0.01203714863
191	1	0.01195012739
192	1	0.01183257762
193	1	0.01166115427
194	1	0.01151094438
195	1	0.01141934871
196	1	0.01132551016
197	1	0.0112072407
198	1	0.01112140911
199	1	0.01100854116
